Source,Target,Weight
Bacelar,Renildo_Calheiros,68
Bacelar,Luiz_Couto,68
Bacelar,Elcione_Barbalho,64
Bacelar,Patrus_Ananias,48
Bacelar,Chico_Alencar,64
Bacelar,Mendonça_Filho,22
Bacelar,João_Leão,54
Bacelar,Laura_Carneiro,50
Bacelar,Cobalchini,38
Bacelar,José_Guimarães,64
Bacelar,Arthur_Oliveira_Maia,52
Bacelar,Pr._Marco_Feliciano,10
Bacelar,Afonso_Motta,48
Bacelar,Helder_Salomão,68
Bacelar,Rubens_Pereira_Júnior,68
Bacelar,Delegado_Éder_Mauro,6
Bacelar,Toninho_Wandscheer,64
Bacelar,Orlando_Silva,30
Bacelar,Flávio_Nogueira,58
Bacelar,Gilson_Marques,10
Bacelar,Caroline_de_Toni,10
Bacelar,Bia_Kicis,10
Bacelar,Pedro_Lupion,28
Bacelar,Lucas_Redecker,50
Bacelar,Chris_Tonietto,14
Bacelar,Nicoletti,32
Bacelar,Dr._Jaziel,8
Bacelar,Cezinha_de_Madureira,56
Bacelar,Delegado_Marcelo_Freitas,42
Bacelar,Luiz_Philippe_de_Orleans_e_Bragança,8
Bacelar,Tabata_Amaral,40
Bacelar,Eduardo_Bismarck,62
Bacelar,Célia_Xakriabá,42
Bacelar,Eliza_Virgínia,14
Bacelar,Gilson_Daniel,66
Bacelar,Defensor_Stélio_Dener,66
Bacelar,Ricardo_Ayres,68
Bacelar,Marcos_Pollon,8
Bacelar,Zucco,10
Bacelar,Julia_Zanatta,8
Bacelar,Delegada_Katarina,56
Bacelar,Alfredo_Gaspar,36
Bacelar,Delegado_Fabio_Costa,36
Bacelar,Rafael_Brito,50
Bacelar,Roberto_Duarte,38
Bacelar,Rafael_Simoes,42
Bacelar,Pedro_Aihara,64
Bacelar,Delegado_Paulo_Bilynskyj,10
Bacelar,Fernanda_Pessoa,60
Bacelar,Pedro_Campos,54
Bacelar,Maria_Arraes,66
Bacelar,Diego_Coronel,64
Bacelar,Castro_Neto,62
Bacelar,Welter,50
Bacelar,Gisela_Simona,42
Bacelar,Pedro_Jr,8
Bacelar,Celso_Russomanno,50
Bacelar,Luiza_Erundina,64
Bacelar,Marangoni,48
Bacelar,Acácio_Favacho,44
Bacelar,Zé_Silva,60
Bacelar,Luiz_Gastão,44
Bacelar,Dr._Fernando_Máximo,26
Bacelar,Eriberto_Medeiros,66
Bacelar,Washington_Quaquá,38
Bacelar,José_Priante,40
Bacelar,Julio_Lopes,48
Bacelar,Ricardo_Maia,54
Bacelar,José_Rocha,58
Bacelar,Ismael,42
Bacelar,Iza_Arruda,56
Bacelar,Jadyel_Alencar,56
Bacelar,Tiririca,56
Bacelar,Rogério_Correia,56
Bacelar,Alexandre_Guimarães,54
Bacelar,Roseana_Sarney,34
Bacelar,Juliana_Kolankiewicz,26
Bacelar,Renilce_Nicodemos,40
Bacelar,Paulo_Folletto,56
Bacelar,Hugo_Leal,50
Bacelar,Marcel_van_Hattem,10
Bacelar,Célio_Silveira,36
Bacelar,Vitor_Lippi,52
Bacelar,Reginete_Bispo,30
Bacelar,Bosco_Costa,60
Bacelar,Luisa_Canziani,34
Bacelar,Carla_Ayres,62
Bacelar,Antonio_Carlos_Rodrigues,34
Bacelar,Dimas_Fabiano,58
Bacelar,Sidney_Leite,40
Bacelar,Guilherme_Boulos,60
Bacelar,Weliton_Prado,40
Bacelar,Rafael_Prudente,36
Bacelar,Felipe_Carreras,44
Bacelar,Lindbergh_Farias,48
Bacelar,Odair_Cunha,58
Bacelar,Silvye_Alves,32
Bacelar,Ivoneide_Caetano,66
Bacelar,Albuquerque,54
Bacelar,Ricardo_Salles,4
Bacelar,Sergio_Souza,36
Bacelar,Lucas_Ramos,62
Bacelar,Dagoberto_Nogueira,66
Bacelar,Kiko_Celeguim,64
Bacelar,Beto_Richa,64
Bacelar,Marcelo_Queiroz,66
Bacelar,Arnaldo_Jardim,40
Bacelar,Afonso_Hamm,34
Bacelar,Ismael_Alexandrino,40
Bacelar,Bibo_Nunes,8
Bacelar,Jorge_Goetten,64
Bacelar,Amaro_Neto,58
Bacelar,Raimundo_Santos,50
Bacelar,Antônio_Doido,64
Bacelar,Paulo_Magalhães,34
Bacelar,Domingos_Neto,30
Bacelar,Adriana_Ventura,8
Bacelar,Denise_Pessôa,44
Bacelar,Maria_do_Rosário,40
Bacelar,Ely_Santos,64
Bacelar,Luizianne_Lins,50
Bacelar,Geraldo_Resende,64
Bacelar,Alceu_Moreira,60
Bacelar,Marcelo_Crivella,62
Bacelar,Átila_Lira,58
Bacelar,Duda_Ramos,52
Bacelar,Luis_Tibé,36
Bacelar,Thiago_Flores,46
Bacelar,Beto_Pereira,24
Bacelar,Gilberto_Abramo,42
Bacelar,Olival_Marques,60
Bacelar,David_Soares,12
Bacelar,Vander_Loubet,62
Bacelar,Jilmar_Tatto,54
Bacelar,Newton_Cardoso_Jr,30
Bacelar,Mário_Heringer,42
Bacelar,Allan_Garcês,46
Bacelar,Gleisi_Hoffmann,46
Bacelar,Junior_Lourenço,48
Bacelar,Daniel_Almeida,30
Bacelar,Emanuel_Pinheiro_Neto,54
Bacelar,Júnior_Ferrari,52
Bacelar,Silvia_Cristina,46
Bacelar,Carol_Dartora,60
Bacelar,Pedro_Paulo,36
Bacelar,Cristiane_Lopes,38
Bacelar,Dal_Barreto,52
Bacelar,Márcio_Marinho,54
Bacelar,Felipe_Francischini,36
Bacelar,Augusto_Coutinho,64
Bacelar,Paulo_Abi-Ackel,62
Bacelar,Heitor_Schuch,32
Bacelar,Raimundo_Costa,36
Bacelar,Leo_Prates,44
Bacelar,Félix_Mendonça_Júnior,66
Bacelar,Daniel_Trzeciak,32
Bacelar,Giovani_Cherini,12
Bacelar,Marreca_Filho,54
Bacelar,Lêda_Borges,32
Bacelar,Paulo_Alexandre_Barbosa,44
Bacelar,João_Carlos_Bacelar,38
Bacelar,José_Airton_Félix_Cirilo,38
Bacelar,Pedro_Tourinho,58
Bacelar,Rosangela_Moro,30
Bacelar,Benedita_da_Silva,64
Bacelar,Aécio_Neves,26
Bacelar,Ana_Pimentel,62
Bacelar,Juliana_Cardoso,62
Bacelar,Simone_Marquetto,34
Bacelar,Bohn_Gass,64
Bacelar,Nilto_Tatto,64
Bacelar,Idilvan_Alencar,56
Bacelar,Fernando_Coelho_Filho,48
Bacelar,Alexandre_Leite,56
Bacelar,Stefano_Aguiar,44
Bacelar,Sargento_Portugal,46
Bacelar,Delegado_Palumbo,26
Bacelar,Delegada_Ione,48
Bacelar,Waldenor_Pereira,42
Bacelar,Hugo_Motta,30
Bacelar,Julio_Cesar_Ribeiro,20
Bacelar,Pompeo_de_Mattos,42
Bacelar,Marcos_Tavares,64
Bacelar,Otoni_de_Paula,30
Bacelar,Rogéria_Santos,54
Bacelar,Fred_Costa,20
Bacelar,Duarte_Jr.,48
Bacelar,Amom_Mandel,36
Bacelar,Jack_Rocha,62
Bacelar,Bruno_Ganem,34
Bacelar,Meire_Serafim,60
Bacelar,Robério_Monteiro,58
Bacelar,Bruno_Farias,48
Bacelar,Vicentinho,62
Bacelar,Dr._Zacharias_Calil,36
Bacelar,Igor_Timo,60
Bacelar,Sâmia_Bomfim,36
Bacelar,Augusto_Puppio,66
Bacelar,Alice_Portugal,66
Bacelar,Coronel_Ulysses,30
Bacelar,Diego_Andrade,32
Bacelar,Mauricio_Neves,30
Bacelar,Guilherme_Uchoa,60
Bacelar,Dr._Luiz_Ovando,50
Bacelar,Sanderson,10
Bacelar,Professora_Goreth,66
Bacelar,Reimont,60
Bacelar,Florentino_Neto,58
Bacelar,Misael_Varella,46
Bacelar,Ricardo_Silva,18
Bacelar,Lídice_da_Mata,46
Bacelar,Padre_João,64
Bacelar,Dorinaldo_Malafaia,58
Bacelar,Dimas_Gadelha,56
Bacelar,Dr._Gonçalo,60
Bacelar,André_Figueiredo,62
Bacelar,Baleia_Rossi,40
Bacelar,Mauricio_Marcon,26
Bacelar,Tarcísio_Motta,58
Bacelar,Julio_Arcoverde,40
Bacelar,Alencar_Santana,54
Bacelar,Romero_Rodrigues,60
Bacelar,Fernando_Mineiro,44
Bacelar,Alexandre_Lindenmeyer,62
Bacelar,Delegada_Adriana_Accorsi,44
Bacelar,Carlos_Sampaio,42
Bacelar,Benes_Leocádio,48
Bacelar,Natália_Bonavides,54
Bacelar,Marcos_Pereira,18
Bacelar,Lebrão,44
Bacelar,Túlio_Gadêlha,56
Bacelar,Jorge_Solla,54
Bacelar,Max_Lemos,64
Bacelar,André_Janones,66
Bacelar,Luiz_Fernando_Faria,38
Bacelar,Carlos_Zarattini,60
Bacelar,Cleber_Verde,62
Bacelar,Marcos_Aurélio_Sampaio,52
Bacelar,Gabriel_Nunes,66
Bacelar,Márcio_Biolchi,44
Bacelar,Saullo_Vianna,62
Bacelar,Hercílio_Coelho_Diniz,66
Bacelar,Waldemar_Oliveira,64
Bacelar,Erika_Kokay,66
Bacelar,Danilo_Forte,44
Bacelar,Diego_Garcia,40
Bacelar,Eunício_Oliveira,40
Bacelar,Darci_de_Matos,40
Bacelar,Duda_Salabert,50
Bacelar,Euclydes_Pettersen,46
Bacelar,Fernando_Monteiro,66
Bacelar,Dr._Benjamim,58
Bacelar,Paulo_Guedes,44
Bacelar,Delegado_da_Cunha,50
Bacelar,João_Maia,64
Bacelar,Lucyana_Genésio,50
Bacelar,Marcon,58
Bacelar,Pastor_Sargento_Isidório,62
Bacelar,Leonardo_Gadelha,50
Bacelar,Rodrigo_de_Castro,46
Bacelar,Dr._Victor_Linhalis,52
Bacelar,Márcio_Jerry,50
Bacelar,Pauderney_Avelino,54
Bacelar,Ana_Paula_Leão,40
Bacelar,Jorge_Braz,66
Bacelar,Damião_Feliciano,52
Bacelar,Glaustin_da_Fokus,30
Bacelar,Erika_Hilton,50
Bacelar,Beto_Preto,36
Bacelar,Marussa_Boldrin,34
Bacelar,Nitinho,58
Bacelar,Pedro_Westphalen,48
Bacelar,Lázaro_Botelho,66
Bacelar,Claudio_Cajado,66
Bacelar,Aluisio_Mendes,56
Bacelar,Robinson_Faria,46
Bacelar,Mauro_Benevides_Filho,66
Bacelar,Josenildo,64
Bacelar,Gerlen_Diniz,32
Bacelar,Rodrigo_Gambale,52
Bacelar,Daniel_Barbosa,60
Bacelar,Murillo_Gouvea,56
Bacelar,Gervásio_Maia,60
Bacelar,Daniela_do_Waguinho,64
Bacelar,AJ_Albuquerque,52
Bacelar,Any_Ortiz,24
Bacelar,Arlindo_Chinaglia,58
Bacelar,Dani_Cunha,52
Bacelar,Eduardo_Velloso,50
Bacelar,Luiz_Carlos_Busato,62
Bacelar,Dilvanda_Faro,56
Bacelar,Júlio_Cesar,50
Bacelar,Maurício_Carvalho,28
Bacelar,Gabriel_Mota,66
Bacelar,Merlong_Solano,66
Bacelar,Reinhold_Stephanes,32
Bacelar,Delegado_Matheus_Laiola,64
Bacelar,Luis_Carlos_Gomes,62
Bacelar,Carlos_Henrique_Gaguim,56
Bacelar,Douglas_Viegas,44
Bacelar,Gilvan_Maximo,56
Bacelar,Dr._Daniel_Soranz,54
Bacelar,Luciano_Vieira,60
Bacelar,Rodrigo_Estacho,38
Bacelar,Ivan_Valente,56
Bacelar,Zé_Haroldo_Cathedral,56
Bacelar,Delegado_Bruno_Lima,64
Bacelar,Eduardo_da_Fonte,52
Bacelar,Aguinaldo_Ribeiro,28
Bacelar,Mário_Negromonte_Jr.,62
Bacelar,Leonardo_Monteiro,54
Bacelar,Marco_Brasil,60
Bacelar,Antonio_Andrade,64
Bacelar,Saulo_Pedroso,36
Bacelar,Hélio_Leite,48
Bacelar,Antônia_Lúcia,64
Bacelar,Jeferson_Rodrigues,56
Bacelar,Pedro_Lucas_Fernandes,52
Bacelar,Carlos_Veras,66
Bacelar,Fred_Linhares,66
Bacelar,Covatti_Filho,38
Bacelar,Bandeira_de_Mello,66
Bacelar,Valmir_Assunção,46
Bacelar,Paulo_Azi,44
Bacelar,Tião_Medeiros,54
Bacelar,Átila_Lins,46
Bacelar,Samuel_Viana,58
Bacelar,Jonas_Donizette,66
Bacelar,Célio_Studart,50
Bacelar,Jandira_Feghali,66
Bacelar,Luciano_Azevedo,36
Bacelar,Franciane_Bayer,48
Bacelar,Dandara,60
Bacelar,Paulão,50
Bacelar,Adriano_do_Baldy,64
Bacelar,Maria_Rosas,58
Bacelar,Ossesio_Silva,64
Bacelar,Josivaldo_JP,54
Bacelar,Newton_Bonin,64
Bacelar,Camila_Jara,64
Bacelar,Júlio_Oliveira,62
Bacelar,Juninho_do_Pneu,56
Bacelar,Neto_Carletto,64
Bacelar,Fausto_Pinato,60
Bacelar,Socorro_Neri,46
Bacelar,Charles_Fernandes,46
Bacelar,Pastor_Henrique_Vieira,62
Bacelar,Lula_da_Fonte,60
Bacelar,Gustinho_Ribeiro,62
Bacelar,Otto_Alencar_Filho,46
Bacelar,Daiana_Santos,62
Bacelar,Professora_Luciene_Cavalcante,52
Bacelar,Da_Vitoria,62
Bacelar,Bebeto,66
Bacelar,Adail_Filho,66
Bacelar,Murilo_Galdino,52
Bacelar,Alfredinho,64
Bacelar,Miguel_Ângelo,46
Bacelar,Yury_do_Paredão,36
Bacelar,Doutor_Luizinho,2
Bacelar,Alberto_Mourão,16
Bacelar,Luiz_Fernando_Vampiro,30
Bacelar,Luciano_Ducci,60
Bacelar,Helena_Lima,52
Bacelar,Ana_Paula_Lima,58
Bacelar,Ronaldo_Nogueira,44
Bacelar,Fabio_Schiochet,48
Bacelar,Fábio_Henrique,54
Bacelar,Josias_Gomes,58
Bacelar,Amanda_Gentil,38
Bacelar,Alex_Santana,44
Bacelar,Silas_Câmara,24
Bacelar,Keniston_Braga,48
Bacelar,Vinicius_Carvalho,60
Bacelar,Tadeu_Veneri,54
Bacelar,Rubens_Otoni,42
Bacelar,Airton_Faleiro,64
Bacelar,Gutemberg_Reis,58
Bacelar,Zeca_Dirceu,52
Bacelar,Josimar_Maranhãozinho,10
Bacelar,Detinha,10
Bacelar,João_Daniel,52
Bacelar,Leur_Lomanto_Júnior,44
Bacelar,Henderson_Pinto,52
Bacelar,Zezinho_Barbary,42
Bacelar,José_Nelto,46
Bacelar,Joseildo_Ramos,56
Bacelar,Flávia_Morais,46
Bacelar,Paulinho_Freire,14
Bacelar,Dilceu_Sperafico,44
Bacelar,Lafayette_de_Andrada,26
Bacelar,Elisangela_Araujo,36
Bacelar,Luiz_Carlos_Motta,34
Bacelar,Fábio_Teruel,22
Bacelar,Dr._Francisco,42
Bacelar,Michele_Collins,32
Bacelar,Giacobo,2
Bacelar,Aureo_Ribeiro,30
Bacelar,Wilson_Santiago,40
Bacelar,Marcos_Soares,20
Bacelar,General_Girão,8
Bacelar,Moses_Rodrigues,20
Bacelar,Marx_Beltrão,34
Bacelar,Nely_Aquino,42
Bacelar,Paulinho_da_Força,20
Bacelar,Luiz_Carlos_Hauly,40
Bacelar,Paulo_Litro,44
Bacelar,Daniel_Agrobom,26
Bacelar,Coronel_Assis,26
Bacelar,Evair_Vieira_de_Melo,20
Bacelar,Pezenti,26
Bacelar,Dra._Alessandra_Haber,18
Bacelar,Messias_Donato,20
Bacelar,Osmar_Terra,20
Bacelar,Capitão_Alden,10
Bacelar,Dayany_Bittencourt,32
Bacelar,Rodrigo_Valadares,24
Bacelar,Kim_Kataguiri,32
Bacelar,Carmen_Zanotto,30
Bacelar,Sargento_Fahur,26
Bacelar,Luiz_Nishimori,40
Bacelar,Pastor_Diniz,24
Bacelar,Soraya_Santos,6
Bacelar,Delegado_Caveira,10
Bacelar,Rosana_Valle,14
Bacelar,Reginaldo_Lopes,30
Bacelar,Helio_Lopes,12
Bacelar,General_Pazuello,10
Bacelar,Lincoln_Portela,12
Bacelar,Nelson_Barbudo,14
Bacelar,Luiz_Lima,6
Bacelar,Glauber_Braga,18
Bacelar,Magda_Mofatto,20
Bacelar,Elmar_Nascimento,8
Bacelar,Lucio_Mosquini,14
Bacelar,Capitão_Augusto,16
Bacelar,Matheus_Noronha,28
Bacelar,Isnaldo_Bulhões_Jr.,8
Bacelar,Pastor_Eurico,8
Bacelar,Abilio_Brunini,8
Bacelar,Emidinho_Madeira,8
Bacelar,Talíria_Petrone,22
Bacelar,Padovani,6
Bacelar,Zé_Vitor,16
Bacelar,Alex_Manente,2
Bacelar,Júnior_Mano,14
Bacelar,André_Fernandes,4
Bacelar,André_Ferreira,4
Bacelar,Adolfo_Viana,16
Bacelar,Roberto_Monteiro_Pai,6
Bacelar,Daniel_Freitas,6
Bacelar,Miguel_Lombardi,8
Bacelar,Paulo_Freire_Costa,8
Bacelar,Domingos_Sávio,10
Bacelar,Mauricio_do_Vôlei,6
Bacelar,Sargento_Gonçalves,6
Bacelar,Marcelo_Álvaro_Antônio,10
Bacelar,Capitão_Alberto_Neto,6
Bacelar,Luciano_Bivar,8
Bacelar,Dr._Frederico,8
Bacelar,Fernando_Rodolfo,10
Bacelar,Zé_Trovão,8
Bacelar,Altineu_Côrtes,6
Bacelar,Delegado_Ramagem,4
Bacelar,Carlos_Jordy,4
Bacelar,Gustavo_Gayer,6
Bacelar,Professor_Alcides,6
Bacelar,Cabo_Gilberto_Silva,6
Bacelar,Jefferson_Campos,8
Bacelar,Eros_Biondini,8
Bacelar,Joaquim_Passarinho,8
Bacelar,Daniela_Reinehr,10
Bacelar,Filipe_Martins,6
Bacelar,Vinicius_Gurgel,8
Bacelar,Gilvan_da_Federal,6
Bacelar,Carla_Zambelli,8
Bacelar,Alberto_Fraga,8
Bacelar,Mario_Frias,6
Bacelar,Rodolfo_Nogueira,8
Bacelar,Marcio_Alvino,8
Bacelar,Coronel_Fernanda,4
Bacelar,Roberta_Roma,8
Bacelar,Adilson_Barroso,6
Bacelar,Filipe_Barros,4
Bacelar,Coronel_Meira,12
Bacelar,Sonize_Barbosa,8
Bacelar,Nikolas_Ferreira,6
Bacelar,Wellington_Roberto,8
Bacelar,José_Medeiros,6
Bacelar,Gláucia_Santiago,8
Bacelar,Coronel_Chrisóstomo,6
Bacelar,Pastor_Gil,6
Bacelar,Eduardo_Bolsonaro,6
Bacelar,Daniel_José,10
Bacelar,Antonio_Brito,14
Bacelar,Pinheirinho,8
Bacelar,Silvia_Waiãpi,4
Bacelar,Sóstenes_Cavalcante,2
Bacelar,Rosângela_Reis,6
Bacelar,Fernanda_Melchionna,10
Bacelar,Greyce_Elias,12
Bacelar,Capitão_Samuel,6
Bacelar,Hildo_Rocha,8
Bacelar,Marcelo_Moraes,4
Bacelar,Vermelho,4
Renildo_Calheiros,Luiz_Couto,72
Renildo_Calheiros,Elcione_Barbalho,70
Renildo_Calheiros,Patrus_Ananias,48
Renildo_Calheiros,Chico_Alencar,68
Renildo_Calheiros,Mendonça_Filho,26
Renildo_Calheiros,João_Leão,58
Renildo_Calheiros,Laura_Carneiro,56
Renildo_Calheiros,Cobalchini,42
Renildo_Calheiros,José_Guimarães,68
Renildo_Calheiros,Arthur_Oliveira_Maia,58
Renildo_Calheiros,Pr._Marco_Feliciano,14
Renildo_Calheiros,Afonso_Motta,52
Renildo_Calheiros,Helder_Salomão,74
Renildo_Calheiros,Rubens_Pereira_Júnior,74
Renildo_Calheiros,Delegado_Éder_Mauro,8
Renildo_Calheiros,Toninho_Wandscheer,70
Renildo_Calheiros,Flávio_Nogueira,62
Renildo_Calheiros,Gilson_Marques,14
Renildo_Calheiros,Caroline_de_Toni,14
Renildo_Calheiros,Bia_Kicis,14
Renildo_Calheiros,Pedro_Lupion,30
Renildo_Calheiros,Lucas_Redecker,54
Renildo_Calheiros,Chris_Tonietto,18
Renildo_Calheiros,Nicoletti,36
Renildo_Calheiros,Dr._Jaziel,10
Renildo_Calheiros,Cezinha_de_Madureira,62
Renildo_Calheiros,Delegado_Marcelo_Freitas,48
Renildo_Calheiros,Luiz_Philippe_de_Orleans_e_Bragança,12
Renildo_Calheiros,Tabata_Amaral,46
Renildo_Calheiros,Eduardo_Bismarck,68
Renildo_Calheiros,Célia_Xakriabá,46
Renildo_Calheiros,Eliza_Virgínia,16
Renildo_Calheiros,Gilson_Daniel,72
Renildo_Calheiros,Defensor_Stélio_Dener,72
Renildo_Calheiros,Ricardo_Ayres,74
Renildo_Calheiros,Marcos_Pollon,12
Renildo_Calheiros,Zucco,14
Renildo_Calheiros,Julia_Zanatta,12
Renildo_Calheiros,Delegada_Katarina,60
Renildo_Calheiros,Alfredo_Gaspar,40
Renildo_Calheiros,Delegado_Fabio_Costa,38
Renildo_Calheiros,Rafael_Brito,54
Renildo_Calheiros,Roberto_Duarte,42
Renildo_Calheiros,Rafael_Simoes,48
Renildo_Calheiros,Pedro_Aihara,70
Renildo_Calheiros,Delegado_Paulo_Bilynskyj,14
Renildo_Calheiros,Fernanda_Pessoa,66
Renildo_Calheiros,Pedro_Campos,60
Renildo_Calheiros,Maria_Arraes,72
Renildo_Calheiros,Diego_Coronel,70
Renildo_Calheiros,Castro_Neto,68
Renildo_Calheiros,Welter,54
Renildo_Calheiros,Gisela_Simona,46
Renildo_Calheiros,Pedro_Jr,12
Renildo_Calheiros,Celso_Russomanno,54
Renildo_Calheiros,Luiza_Erundina,68
Renildo_Calheiros,Marangoni,54
Renildo_Calheiros,Acácio_Favacho,50
Renildo_Calheiros,Zé_Silva,66
Renildo_Calheiros,Luiz_Gastão,50
Renildo_Calheiros,Dr._Fernando_Máximo,30
Renildo_Calheiros,Eriberto_Medeiros,72
Renildo_Calheiros,Washington_Quaquá,40
Renildo_Calheiros,José_Priante,44
Renildo_Calheiros,Julio_Lopes,48
Renildo_Calheiros,Ricardo_Maia,60
Renildo_Calheiros,José_Rocha,64
Renildo_Calheiros,Ismael,46
Renildo_Calheiros,Iza_Arruda,60
Renildo_Calheiros,Jadyel_Alencar,62
Renildo_Calheiros,Tiririca,60
Renildo_Calheiros,Rogério_Correia,62
Renildo_Calheiros,Alexandre_Guimarães,56
Renildo_Calheiros,Luciano_Amaral,68
Renildo_Calheiros,Roseana_Sarney,34
Renildo_Calheiros,Juliana_Kolankiewicz,30
Renildo_Calheiros,Renilce_Nicodemos,44
Renildo_Calheiros,Paulo_Folletto,62
Renildo_Calheiros,Hugo_Leal,56
Renildo_Calheiros,Marcel_van_Hattem,14
Renildo_Calheiros,Célio_Silveira,42
Renildo_Calheiros,Vitor_Lippi,56
Renildo_Calheiros,Reginete_Bispo,36
Renildo_Calheiros,Bosco_Costa,66
Renildo_Calheiros,Luisa_Canziani,38
Renildo_Calheiros,Carla_Ayres,68
Renildo_Calheiros,Antonio_Carlos_Rodrigues,40
Renildo_Calheiros,Dimas_Fabiano,64
Renildo_Calheiros,Sidney_Leite,44
Renildo_Calheiros,Guilherme_Boulos,64
Renildo_Calheiros,Weliton_Prado,44
Renildo_Calheiros,Rafael_Prudente,40
Renildo_Calheiros,Felipe_Carreras,44
Renildo_Calheiros,Lindbergh_Farias,54
Renildo_Calheiros,Odair_Cunha,64
Renildo_Calheiros,Silvye_Alves,34
Renildo_Calheiros,Ivoneide_Caetano,72
Renildo_Calheiros,Albuquerque,60
Renildo_Calheiros,Ricardo_Salles,6
Renildo_Calheiros,Sergio_Souza,38
Renildo_Calheiros,Lucas_Ramos,68
Renildo_Calheiros,Dagoberto_Nogueira,72
Renildo_Calheiros,Kiko_Celeguim,70
Renildo_Calheiros,Beto_Richa,70
Renildo_Calheiros,Marcelo_Queiroz,70
Renildo_Calheiros,Arnaldo_Jardim,46
Renildo_Calheiros,Afonso_Hamm,38
Renildo_Calheiros,Ismael_Alexandrino,44
Renildo_Calheiros,Bibo_Nunes,12
Renildo_Calheiros,Jorge_Goetten,70
Renildo_Calheiros,Amaro_Neto,62
Renildo_Calheiros,Raimundo_Santos,56
Renildo_Calheiros,Antônio_Doido,70
Renildo_Calheiros,Paulo_Magalhães,34
Renildo_Calheiros,Domingos_Neto,32
Renildo_Calheiros,Adriana_Ventura,12
Renildo_Calheiros,Denise_Pessôa,48
Renildo_Calheiros,Maria_do_Rosário,44
Renildo_Calheiros,Ely_Santos,70
Renildo_Calheiros,Luizianne_Lins,56
Renildo_Calheiros,Geraldo_Resende,66
Renildo_Calheiros,Alceu_Moreira,66
Renildo_Calheiros,Marcelo_Crivella,68
Renildo_Calheiros,Átila_Lira,64
Renildo_Calheiros,Duda_Ramos,58
Renildo_Calheiros,Luis_Tibé,38
Renildo_Calheiros,Thiago_Flores,52
Renildo_Calheiros,Beto_Pereira,24
Renildo_Calheiros,Gilberto_Abramo,48
Renildo_Calheiros,Olival_Marques,66
Renildo_Calheiros,David_Soares,12
Renildo_Calheiros,Vander_Loubet,68
Renildo_Calheiros,Jilmar_Tatto,60
Renildo_Calheiros,Newton_Cardoso_Jr,34
Renildo_Calheiros,Mário_Heringer,48
Renildo_Calheiros,Allan_Garcês,50
Renildo_Calheiros,Gleisi_Hoffmann,52
Renildo_Calheiros,Junior_Lourenço,50
Renildo_Calheiros,Emanuel_Pinheiro_Neto,56
Renildo_Calheiros,Júnior_Ferrari,56
Renildo_Calheiros,Silvia_Cristina,48
Renildo_Calheiros,Aliel_Machado,44
Renildo_Calheiros,Carol_Dartora,66
Renildo_Calheiros,Pedro_Paulo,42
Renildo_Calheiros,Cristiane_Lopes,40
Renildo_Calheiros,Dal_Barreto,58
Renildo_Calheiros,Márcio_Marinho,60
Renildo_Calheiros,Felipe_Francischini,40
Renildo_Calheiros,Augusto_Coutinho,68
Renildo_Calheiros,Paulo_Abi-Ackel,68
Renildo_Calheiros,Heitor_Schuch,38
Renildo_Calheiros,Raimundo_Costa,42
Renildo_Calheiros,Leo_Prates,48
Renildo_Calheiros,Félix_Mendonça_Júnior,70
Renildo_Calheiros,Daniel_Trzeciak,34
Renildo_Calheiros,Giovani_Cherini,16
Renildo_Calheiros,Marreca_Filho,60
Renildo_Calheiros,Lêda_Borges,36
Renildo_Calheiros,Paulo_Alexandre_Barbosa,50
Renildo_Calheiros,João_Carlos_Bacelar,44
Renildo_Calheiros,José_Airton_Félix_Cirilo,44
Renildo_Calheiros,Pedro_Tourinho,62
Renildo_Calheiros,Rosangela_Moro,34
Renildo_Calheiros,Benedita_da_Silva,68
