510 126781
Bacelar Renildo_Calheiros 60
Bacelar Luiz_Couto 60
Bacelar Elcione_Barbalho 56
Bacelar Patrus_Ananias 46
Bacelar Chico_Alencar 58
Bacelar Mendonça_Filho 18
Bacelar João_Leão 46
Bacelar Laura_Carneiro 46
Bacelar Cobalchini 32
Bacelar José_Guimarães 60
Bacelar Arthur_Oliveira_Maia 44
Bacelar Pr._Marco_Feliciano 8
Bacelar Afonso_Motta 42
Bacelar Helder_Salomão 60
Bacelar Rubens_Pereira_Júnior 60
Bacelar Delegado_Éder_Mauro 4
Bacelar Toninho_Wandscheer 56
Bacelar Orlando_Silva 22
Bacelar Flávio_Nogueira 50
Bacelar Gilson_Marques 8
Bacelar Caroline_de_Toni 8
Bacelar Bia_Kicis 6
Bacelar Pedro_Lupion 24
Bacelar Lucas_Redecker 46
Bacelar Chris_Tonietto 10
Bacelar Nicoletti 30
Bacelar Dr._Jaziel 6
Bacelar Cezinha_de_Madureira 52
Bacelar Delegado_Marcelo_Freitas 36
Bacelar Luiz_Philippe_de_Orleans_e_Bragança 8
Bacelar Tabata_Amaral 34
Bacelar Eduardo_Bismarck 54
Bacelar Célia_Xakriabá 36
Bacelar Eliza_Virgínia 10
Bacelar Gilson_Daniel 58
Bacelar Defensor_Stélio_Dener 58
Bacelar Ricardo_Ayres 60
Bacelar Marcos_Pollon 6
Bacelar Zucco 8
Bacelar Julia_Zanatta 6
Bacelar Delegada_Katarina 48
Bacelar Alfredo_Gaspar 32
Bacelar Delegado_Fabio_Costa 32
Bacelar Rafael_Brito 42
Bacelar Roberto_Duarte 34
Bacelar Rafael_Simoes 34
Bacelar Pedro_Aihara 56
Bacelar Delegado_Paulo_Bilynskyj 8
Bacelar Fernanda_Pessoa 52
Bacelar Pedro_Campos 48
Bacelar Maria_Arraes 58
Bacelar Diego_Coronel 56
Bacelar Castro_Neto 54
Bacelar Welter 46
Bacelar Gisela_Simona 36
Bacelar Pedro_Jr 6
Bacelar Celso_Russomanno 48
Bacelar Luiza_Erundina 58
Bacelar Marangoni 40
Bacelar Acácio_Favacho 38
Bacelar Zé_Silva 52
Bacelar Luiz_Gastão 38
Bacelar Dr._Fernando_Máximo 24
Bacelar Eriberto_Medeiros 58
Bacelar Washington_Quaquá 30
Bacelar José_Priante 32
Bacelar Julio_Lopes 42
Bacelar Ricardo_Maia 50
Bacelar José_Rocha 54
Bacelar Ismael 34
Bacelar Iza_Arruda 50
Bacelar Jadyel_Alencar 50
Bacelar Tiririca 48
