Id,Label,Partido
Bacelar,Bacelar,PV
Renildo_Calheiros,Renildo Calheiros,PCdoB
Luiz_Couto,Luiz Couto,PT
Elcione_Barbalho,Elcione Barbalho,MDB
Patrus_Ananias,Patrus Ananias,PT
Chico_Alencar,Chico Alencar,PSOL
Mendonça_Filho,Mendonça Filho,UNIÃO
João_Leão,João Leão,PP
Laura_Carneiro,Laura Carneiro,PSD
Cobalchini,Cobalchini,MDB
José_Guimarães,José Guimarães,PT
Arthur_Oliveira_Maia,Arthur Oliveira Maia,UNIÃO
Pr._Marco_Feliciano,Pr. Marco Feliciano,PL
Afonso_Motta,Afonso Motta,PDT
Helder_Salomão,Helder Salomão,PT
Rubens_Pereira_Júnior,Rubens Pereira Júnior,PT
Delegado_Éder_Mauro,Delegado Éder Mauro,PL
Toninho_Wandscheer,Toninho Wandscheer,PP
Orlando_Silva,Orlando Silva,PCdoB
Flávio_Nogueira,Flávio Nogueira,PT
Gilson_Marques,Gilson Marques,NOVO
Caroline_de_Toni,Caroline de Toni,PL
Bia_Kicis,Bia Kicis,PL
Pedro_Lupion,Pedro Lupion,PP
Lucas_Redecker,Lucas Redecker,PSDB
Chris_Tonietto,Chris Tonietto,PL
Nicoletti,Nicoletti,UNIÃO
Dr._Jaziel,Dr. Jaziel,PL
Cezinha_de_Madureira,Cezinha de Madureira,PSD
Delegado_Marcelo_Freitas,Delegado Marcelo Freitas,UNIÃO
Luiz_Philippe_de_Orleans_e_Bragança,Luiz Philippe de Orleans e Bragança,PL
Tabata_Amaral,Tabata Amaral,PSB
Eduardo_Bismarck,Eduardo Bismarck,PDT
Célia_Xakriabá,Célia Xakriabá,PSOL
Eliza_Virgínia,Eliza Virgínia,PP
Gilson_Daniel,Gilson Daniel,PODE
Defensor_Stélio_Dener,Defensor Stélio Dener,REPUBLICANOS
Ricardo_Ayres,Ricardo Ayres,REPUBLICANOS
Marcos_Pollon,Marcos Pollon,PL
Zucco,Zucco,PL
Julia_Zanatta,Julia Zanatta,PL
Delegada_Katarina,Delegada Katarina,PSD
Alfredo_Gaspar,Alfredo Gaspar,UNIÃO
Delegado_Fabio_Costa,Delegado Fabio Costa,PP
Rafael_Brito,Rafael Brito,MDB
Roberto_Duarte,Roberto Duarte,REPUBLICANOS
Rafael_Simoes,Rafael Simoes,UNIÃO
Pedro_Aihara,Pedro Aihara,PRD
Delegado_Paulo_Bilynskyj,Delegado Paulo Bilynskyj,PL
Fernanda_Pessoa,Fernanda Pessoa,UNIÃO
Pedro_Campos,Pedro Campos,PSB
Maria_Arraes,Maria Arraes,SOLIDARIEDADE
Diego_Coronel,Diego Coronel,PSD
Castro_Neto,Castro Neto,PSD
Welter,Welter,PT
Gisela_Simona,Gisela Simona,UNIÃO
Pedro_Jr,Pedro Jr,PL
Celso_Russomanno,Celso Russomanno,REPUBLICANOS
Luiza_Erundina,Luiza Erundina,PSOL
Marangoni,Marangoni,UNIÃO
Acácio_Favacho,Acácio Favacho,MDB
Zé_Silva,Zé Silva,SOLIDARIEDADE
Luiz_Gastão,Luiz Gastão,PSD
Dr._Fernando_Máximo,Dr. Fernando Máximo,UNIÃO
Eriberto_Medeiros,Eriberto Medeiros,PSB
Washington_Quaquá,Washington Quaquá,PT
José_Priante,José Priante,MDB
Julio_Lopes,Julio Lopes,PP
Ricardo_Maia,Ricardo Maia,MDB
José_Rocha,José Rocha,UNIÃO
Ismael,Ismael,PSD
Iza_Arruda,Iza Arruda,MDB
Jadyel_Alencar,Jadyel Alencar,REPUBLICANOS
Tiririca,Tiririca,PL
Rogério_Correia,Rogério Correia,PT
Alexandre_Guimarães,Alexandre Guimarães,MDB
Roseana_Sarney,Roseana Sarney,MDB
Juliana_Kolankiewicz,Juliana Kolankiewicz,MDB
Renilce_Nicodemos,Renilce Nicodemos,MDB
Paulo_Folletto,Paulo Folletto,PSB
Hugo_Leal,Hugo Leal,PSD
Marcel_van_Hattem,Marcel van Hattem,NOVO
Célio_Silveira,Célio Silveira,MDB
Vitor_Lippi,Vitor Lippi,PSDB
Reginete_Bispo,Reginete Bispo,PT
Bosco_Costa,Bosco Costa,PL
Luisa_Canziani,Luisa Canziani,PSD
Carla_Ayres,Carla Ayres,PT
Antonio_Carlos_Rodrigues,Antonio Carlos Rodrigues,PL
Dimas_Fabiano,Dimas Fabiano,PP
Sidney_Leite,Sidney Leite,PSD
Guilherme_Boulos,Guilherme Boulos,PSOL
Weliton_Prado,Weliton Prado,SOLIDARIEDADE
Rafael_Prudente,Rafael Prudente,MDB
Felipe_Carreras,Felipe Carreras,PSB
Lindbergh_Farias,Lindbergh Farias,PT
Odair_Cunha,Odair Cunha,PT
Silvye_Alves,Silvye Alves,UNIÃO
Ivoneide_Caetano,Ivoneide Caetano,PT
Albuquerque,Albuquerque,REPUBLICANOS
Ricardo_Salles,Ricardo Salles,NOVO
Sergio_Souza,Sergio Souza,MDB
Lucas_Ramos,Lucas Ramos,PSB
Dagoberto_Nogueira,Dagoberto Nogueira,PSDB
Kiko_Celeguim,Kiko Celeguim,PT
Beto_Richa,Beto Richa,PSDB
Marcelo_Queiroz,Marcelo Queiroz,PP
Arnaldo_Jardim,Arnaldo Jardim,CIDADANIA
Afonso_Hamm,Afonso Hamm,PP
Ismael_Alexandrino,Ismael Alexandrino,PSD
Bibo_Nunes,Bibo Nunes,PL
Jorge_Goetten,Jorge Goetten,REPUBLICANOS
Amaro_Neto,Amaro Neto,REPUBLICANOS
Raimundo_Santos,Raimundo Santos,PSD
Antônio_Doido,Antônio Doido,MDB
Paulo_Magalhães,Paulo Magalhães,PSD
Domingos_Neto,Domingos Neto,PSD
Adriana_Ventura,Adriana Ventura,NOVO
Denise_Pessôa,Denise Pessôa,PT
Maria_do_Rosário,Maria do Rosário,PT
Ely_Santos,Ely Santos,REPUBLICANOS
Luizianne_Lins,Luizianne Lins,PT
Geraldo_Resende,Geraldo Resende,PSDB
Alceu_Moreira,Alceu Moreira,MDB
Marcelo_Crivella,Marcelo Crivella,REPUBLICANOS
Átila_Lira,Átila Lira,PP
Duda_Ramos,Duda Ramos,MDB
Luis_Tibé,Luis Tibé,AVANTE
Thiago_Flores,Thiago Flores,REPUBLICANOS
Beto_Pereira,Beto Pereira,PSDB
Gilberto_Abramo,Gilberto Abramo,REPUBLICANOS
Olival_Marques,Olival Marques,MDB
David_Soares,David Soares,UNIÃO
Vander_Loubet,Vander Loubet,PT
Jilmar_Tatto,Jilmar Tatto,PT
Newton_Cardoso_Jr,Newton Cardoso Jr,MDB
Mário_Heringer,Mário Heringer,PDT
Allan_Garcês,Allan Garcês,PP
Gleisi_Hoffmann,Gleisi Hoffmann,PT
Junior_Lourenço,Junior Lourenço,PL
Daniel_Almeida,Daniel Almeida,PCdoB
Emanuel_Pinheiro_Neto,Emanuel Pinheiro Neto,MDB
